Sy	Qp	r21	r22	r23	RMSE	MAE	NSE
0.024255992143967387	92745708.33790725	0.050002059225208194	0.0021480418991994352	0.2560907073452357	1.821715295875688	1.4171652201755398	-0.6046599496973248
0.026659065960030953	93379853.78332214	0.0500405996626236	0.0025983251182570273	0.2560578025800644	1.841033312263637	1.4011427555809883	-0.5962308838677179
0.026471769023043747	93288883.57467687	0.05000450647586457	0.0037302794863773824	0.2560577337428021	1.8362610518459934	1.401186277782238	-0.5983214424129328
0.026659065960030953	93379853.78332214	0.05004322660562014	0.0025983251182570273	0.2560578025800644	1.8410324907933524	1.4011431910798728	-0.5962312441917326
0.024255992143967387	92863831.3804056	0.0500025065555366	0.0021480418991994352	0.256060732760032	1.8220258815713877	1.4146802652920047	-0.6045251345241054
0.026374925804790488	92854016.89466164	0.05000034508426415	0.0009389655449940065	0.25609573585811124	1.8339421470326083	1.4019413701995938	-0.5993353137255729
0.0263315204509456	93379853.78332214	0.05003734816059908	0.004068925344766955	0.2560577337428021	1.8356047897368721	1.4018164759632012	-0.5986085032444217
0.024493060071368405	92669142.69186383	0.050001339661977055	0.0006778667389252961	0.2560577337428021	1.8221909166915633	1.412119575994086	-0.6044534887824148
0.025433633698656075	92746651.91081117	0.05004722254510854	6.169672212737436e-05	0.2560577337428021	1.8270012132326559	1.405010066280094	-0.6023623715389371
0.025810385407546065	92755695.51971878	0.05000512793038204	0.0019148360631321927	0.2560577337428021	1.8279772159005294	1.4049589744171476	-0.6019374139136566
0.02631846499595161	92745708.33790725	0.050047199265178456	0.0007847348119031536	0.2560577337428021	1.8327337728335586	1.402526025079978	-0.5998631312113554
0.025930079063644737	92855930.5098489	0.05000799338945522	0.0003527875924368587	0.25609573585811124	1.8309928168266447	1.4029944655149953	-0.6006229685948451
0.026047037774186516	93379853.78332214	0.0500040483652467	0.00499548831203553	0.25605088161364525	1.832069253499336	1.4029609174085795	-0.600153244793945
0.02487424354699716	92520392.57780348	0.050025585323040654	0.00047670616343066475	0.2560577337428021	1.822768387068859	1.4098853604698511	-0.6042027438306221
0.02582053044551623	92755695.51971878	0.05000169347893968	1.6354287630616698e-05	0.2560577337428021	1.8297176875946188	1.4035789322419527	-0.6011790384992945
0.024465739702948467	92722436.46109326	0.05004322660562014	0.002553708544995666	0.2560577337428021	1.8219235079254557	1.4156162369930676	-0.6045695741414228
